,Sex,Age,EducationLevel,HouseholdPosition,HouseholdSize,Country,EconomicStatus,CurEcoActivity,MaritalStatus,Occupation
180,2,37,3,3,2,1,1,2,2,1
181,2,27,5,7,4,1,2,3,4,0
182,1,27,6,5,1,1,1,2,1,1
183,1,18,4,5,1,1,3,1,1,1
184,2,16,4,3,3,1,1,1,2,1
185,2,42,2,5,1,1,1,4,4,1
186,1,37,6,2,5,1,2,5,2,0
187,2,16,4,4,4,1,1,2,1,1
188,1,59,3,4,4,1,3,1,1,1
189,1,32,6,2,3,1,1,5,2,0
190,1,22,6,2,4,1,1,2,2,0
191,1,18,4,2,4,3,1,6,2,1
192,2,37,3,2,4,1,1,2,2,1
193,1,42,3,3,2,1,1,1,2,0
194,2,22,6,5,1,1,1,3,1,0
195,2,16,3,5,1,1,1,10,1,1
196,1,16,4,4,4,1,1,2,1,1
197,2,16,4,4,4,1,1,3,1,1
198,1,16,3,4,5,1,1,6,1,1
199,2,32,3,3,2,1,1,4,2,1
200,1,21,4,2,4,1,1,1,2,1
201,1,18,6,1,2,1,1,2,1,0
202,2,21,4,2,4,1,1,2,2,1
203,1,42,4,3,2,1,1,2,2,0
204,1,22,3,2,5,1,1,1,2,1
205,1,27,4,3,2,1,1,4,2,1
206,1,27,4,2,4,1,1,1,2,1
207,2,16,4,2,4,2,1,1,2,1
208,2,22,6,5,1,1,1,3,1,0
209,2,21,4,1,2,1,1,2,1,1
210,2,22,4,2,6,1,1,2,2,1
211,2,37,4,3,2,1,2,2,2,1
212,2,21,4,2,4,1,2,5,2,0
213,1,27,4,2,4,1,1,1,2,0
214,2,27,3,2,4,1,1,4,2,1
215,1,21,4,2,3,2,1,7,2,0
216,1,42,3,2,5,1,2,11,2,0
217,1,22,6,6,3,1,1,2,1,0
218,2,27,3,2,4,1,1,7,2,1
219,1,32,4,2,5,1,1,6,2,0
220,2,37,4,2,3,1,1,3,2,0
221,1,22,5,2,4,1,1,6,2,1
222,1,16,4,4,4,1,3,9,1,1
223,1,22,4,2,4,1,1,9,2,1
224,1,21,6,5,1,1,1,2,1,0
225,2,27,6,2,3,1,1,1,2,0
226,1,18,5,5,1,1,1,6,1,0
227,2,16,4,4,6,1,1,3,1,1
228,1,37,3,3,2,1,1,7,2,1
229,2,37,3,2,3,1,1,3,2,1
230,2,32,3,2,3,1,1,4,2,1
231,1,32,4,7,4,1,1,12,3,0
232,1,16,3,4,5,1,1,1,1,1
233,1,42,2,8,5,1,1,4,2,0
234,2,21,6,2,6,1,1,5,2,0
235,1,32,4,2,3,1,1,10,2,1
236,1,21,6,3,2,1,1,3,2,0
237,2,16,5,1,2,1,3,10,1,1
238,2,42,2,3,2,1,1,3,2,1
239,1,18,3,8,3,3,1,2,4,1
240,1,27,3,1,2,1,1,4,4,0
241,1,21,6,1,2,1,1,2,1,0
242,2,21,6,5,1,1,1,3,1,0
243,2,32,3,2,4,1,1,2,2,1
244,1,32,6,2,4,1,1,2,2,0
245,1,27,6,2,3,1,1,1,2,0
246,1,21,6,1,2,1,1,1,1,0
247,2,22,6,2,3,1,1,3,2,0
248,1,32,6,2,5,1,1,5,2,0
249,1,32,3,2,4,1,1,10,2,1
250,1,22,6,2,3,1,1,7,2,0
251,1,27,6,2,4,3,1,10,2,0
252,2,18,4,3,2,1,1,3,2,0
253,1,22,6,2,4,1,2,2,2,0
254,1,27,6,6,4,1,1,3,1,0
255,1,59,4,4,4,1,3,3,1,1
256,2,59,4,4,4,1,1,1,1,1
257,1,22,2,2,3,1,1,4,2,1
258,2,22,3,2,5,1,1,1,2,1
259,2,27,4,2,4,1,1,10,2,1
260,2,22,3,2,4,1,1,2,2,1
261,1,21,6,2,4,1,1,1,2,0
262,1,27,4,5,1,1,1,4,1,0
263,2,21,6,6,4,1,1,3,1,0
264,2,16,4,1,2,1,1,3,1,1
265,2,27,3,2,4,1,1,7,2,1
266,2,42,6,3,2,1,1,5,2,0
267,2,27,4,2,3,1,1,1,2,1
268,2,18,4,5,1,1,1,1,1,1
269,1,32,3,5,1,1,1,7,4,1
270,1,32,4,2,3,1,2,1,2,0
271,2,32,3,2,4,1,1,3,2,1
272,2,22,2,2,5,1,1,5,2,1
273,1,16,4,4,4,1,1,1,1,0
274,2,32,3,2,3,1,1,2,2,1
275,2,27,3,2,5,1,1,4,2,1
276,1,32,6,2,4,1,2,2,2,0
277,1,37,4,3,2,1,1,1,2,0
278,2,37,3,2,3,1,1,1,2,1
279,1,37,4,2,3,1,1,4,2,0
280,1,47,3,5,1,1,2,11,1,0
281,1,59,3,4,5,1,3,9,1,1
282,2,16,3,4,3,1,3,9,1,1
283,1,21,6,5,1,1,1,1,1,1
284,1,42,3,2,4,1,1,12,2,0
285,1,37,4,3,2,1,1,1,2,0
286,1,21,3,3,2,1,1,9,2,1
287,1,22,4,2,4,1,1,10,2,0
288,1,32,5,2,5,1,1,1,2,0
289,1,21,3,3,2,1,1,4,2,1
290,2,59,4,4,4,1,1,1,1,1
291,1,21,6,5,1,1,1,5,1,0
292,1,16,5,4,4,3,3,7,1,1
293,1,22,3,2,3,1,1,4,2,0
294,2,32,6,2,4,1,1,3,2,1
295,1,47,4,3,2,1,1,2,2,0
296,2,42,2,1,2,1,1,3,1,1
297,2,32,4,2,4,1,1,3,2,1
298,1,27,2,2,4,1,1,6,2,1
299,2,18,6,3,2,1,1,2,2,0
300,1,22,3,1,2,1,1,2,1,1
301,1,37,5,2,4,1,1,6,2,0
302,2,27,2,2,5,1,1,5,2,0
303,1,37,2,3,2,1,1,4,2,1
304,1,37,2,2,3,3,2,1,2,1
305,2,27,4,7,2,1,1,2,4,1
306,1,27,3,2,4,1,1,4,2,1
307,2,37,6,3,2,1,1,5,2,0
308,1,22,5,3,2,1,1,7,2,0
309,1,22,4,2,4,1,1,4,2,1
310,2,18,4,4,3,1,1,2,1,1
311,2,42,4,3,2,1,1,6,2,1
312,1,32,2,2,4,1,1,4,2,1
313,2,42,6,2,3,1,1,5,2,0
314,1,37,6,2,3,1,1,5,2,0
315,2,42,6,5,1,1,1,5,3,0
316,2,22,6,2,4,1,1,5,2,0
317,1,22,4,2,4,1,1,2,2,1
318,2,59,1,8,3,1,1,1,1,1
319,1,22,6,6,3,1,1,7,1,1
320,2,42,3,2,4,1,2,8,2,1
321,1,21,4,2,3,1,2,12,2,0
322,1,27,3,2,4,1,1,4,2,0
323,1,21,4,5,1,1,1,12,1,0
324,2,21,6,1,2,1,2,10,1,0
325,1,37,4,2,3,1,2,1,2,0
326,1,32,4,2,4,1,1,10,2,0
327,2,32,4,6,3,3,1,9,4,1
328,2,42,4,3,2,1,1,6,2,1
329,1,27,5,5,1,1,1,10,1,0
330,1,18,4,3,2,1,1,4,2,1
331,2,21,4,2,4,1,1,3,2,1
332,1,22,6,6,3,1,1,6,1,0
333,2,16,4,5,1,1,1,8,1,1
334,2,42,3,5,1,1,1,2,4,0
335,2,16,4,4,4,1,1,2,1,1
336,2,59,3,4,5,1,3,1,1,1
337,1,42,4,2,4,1,1,1,2,0
338,1,18,6,1,2,1,1,4,1,0
339,1,32,6,2,5,1,1,2,2,0
340,1,32,6,2,4,3,1,2,2,0
341,1,37,4,3,2,1,1,10,2,0
342,2,22,4,2,6,1,1,3,2,0
343,2,27,3,2,5,1,1,3,2,1
344,2,42,2,2,3,2,1,3,2,1
345,1,21,3,3,2,1,1,4,2,1
346,2,21,6,3,2,1,1,5,2,0
347,2,18,6,3,2,1,1,3,2,0
348,2,42,4,7,2,1,1,4,4,1
349,1,32,2,2,6,3,1,10,2,1
350,1,32,4,3,2,1,1,7,2,1
351,1,32,4,2,6,1,1,4,2,0
352,2,32,4,7,4,1,1,1,4,1
353,2,16,6,1,2,1,1,3,1,0
354,1,27,2,2,3,3,1,2,2,1
355,2,22,2,5,1,1,1,6,1,1
356,1,42,6,5,1,1,1,3,4,1
357,1,21,3,1,2,1,1,2,4,1
358,1,27,4,2,4,1,1,4,2,1
359,1,59,4,4,3,1,3,2,1,1
360,1,16,4,1,2,1,1,1,1,1
361,2,32,4,2,4,1,1,4,2,1
362,1,21,4,2,5,1,2,11,2,0
363,2,22,3,7,2,1,1,3,1,1
364,1,37,6,3,2,1,1,3,2,0
365,1,37,4,2,5,1,2,11,2,0
366,1,16,4,4,2,1,1,2,1,1
367,2,37,6,5,1,1,1,5,4,0
368,2,59,2,4,3,1,1,9,1,1
369,2,21,3,2,3,1,2,9,2,0
370,1,22,6,3,2,1,1,2,2,0
371,1,22,4,2,5,1,1,11,2,1
372,1,59,3,4,4,1,3,2,1,1
373,2,21,6,2,6,1,1,3,2,1
374,1,16,4,4,4,1,1,1,1,0
375,2,18,6,3,2,1,1,2,2,0
376,2,21,6,1,2,1,1,3,1,0
377,1,27,6,5,1,1,1,10,4,0
378,1,27,6,2,4,1,1,4,2,0
379,1,59,2,4,3,1,3,1,1,1
380,2,18,4,3,2,1,1,3,2,1
381,1,18,4,5,1,1,1,1,1,1
382,2,32,3,3,2,1,1,4,2,1
383,1,22,3,5,1,1,1,1,1,1
384,2,27,4,2,4,1,1,8,2,1
385,1,37,3,3,2,1,1,1,2,1
386,2,21,4,4,4,1,1,1,1,1
387,2,59,3,4,4,1,3,1,1,1
388,1,37,3,2,4,1,1,2,2,0
389,1,21,4,2,3,1,1,4,2,0
390,1,21,4,2,3,1,1,9,2,1
391,2,22,3,2,3,1,1,3,2,1
392,1,47,4,2,3,1,2,11,2,0
393,1,37,6,3,2,1,1,6,2,0
394,1,42,4,3,2,1,1,12,2,0
395,2,32,4,2,3,1,1,1,2,1
396,2,21,3,3,2,1,1,3,2,1
397,1,18,3,6,3,1,1,1,1,1
398,1,32,3,2,4,1,1,4,2,1
399,1,22,5,2,4,1,1,6,2,1
400,1,42,3,2,3,1,2,11,2,0
401,1,27,4,2,4,1,2,12,2,0
402,1,42,6,5,1,1,2,2,4,0
403,2,27,6,2,4,1,1,5,2,0
404,2,37,6,2,5,1,1,5,2,0
405,1,21,4,1,2,3,1,6,1,1
406,1,37,6,2,3,1,2,9,2,0
407,1,22,6,2,4,1,1,6,2,0
408,1,32,3,6,4,1,2,11,4,0
409,1,16,4,1,2,3,2,1,1,0
410,1,21,6,2,5,1,2,11,2,0
411,1,21,4,2,3,1,1,4,2,1
412,2,21,4,2,3,1,1,1,2,1
413,2,37,6,2,3,1,1,5,2,0
414,2,22,6,2,4,3,1,5,2,0
415,2,59,3,4,3,1,1,8,1,1
416,1,59,4,4,4,1,3,2,1,1
417,1,21,6,3,2,1,1,4,2,0
418,1,59,2,4,2,1,3,9,1,1
419,2,59,4,4,4,1,1,2,1,1
420,2,16,3,4,4,1,3,1,1,1
421,2,27,2,2,4,1,1,1,2,1
422,1,18,6,4,3,1,2,11,1,0
423,2,52,3,3,2,1,1,8,2,0
424,2,37,4,2,4,1,1,2,2,0
425,2,59,3,4,4,1,3,2,1,1
426,2,22,6,7,4,1,1,5,4,0
427,1,59,4,4,4,1,3,11,1,1
428,2,59,3,4,4,1,3,1,1,1
429,2,27,2,2,4,1,1,3,2,1
430,1,47,4,1,2,1,1,2,4,1
431,1,21,2,5,1,3,1,2,2,1
432,1,32,2,2,3,1,1,8,2,1
433,1,37,6,3,2,1,1,7,2,0
434,2,18,4,1,2,1,1,2,1,1
435,2,32,3,2,4,1,1,4,2,1
436,2,21,6,2,4,1,2,2,2,0
437,1,37,6,2,6,1,1,5,2,0
438,1,27,4,5,1,1,1,4,4,0
439,2,22,4,2,4,1,1,9,2,1
440,1,21,6,3,2,1,1,6,2,0
441,2,32,3,2,4,1,1,1,2,1
442,1,22,6,3,2,1,1,10,2,1
443,2,21,6,5,1,1,1,5,1,0
444,2,16,6,5,1,1,1,1,1,0
445,1,37,4,3,2,1,2,1,2,0
446,1,18,3,1,2,1,1,1,1,1
447,2,32,4,2,3,1,1,3,2,1
448,2,22,2,2,4,1,1,2,2,1
449,1,32,6,2,5,1,1,7,2,0
450,2,59,2,4,5,1,3,1,1,1
451,1,21,4,5,1,1,1,6,1,0
452,1,18,6,8,2,3,1,5,1,0
453,2,32,3,2,3,1,1,3,2,1
454,1,59,2,4,5,3,3,1,1,1
455,1,37,6,2,3,1,1,5,2,0
456,1,27,6,2,5,1,1,2,2,0
457,1,21,4,2,3,1,1,8,2,0
458,1,21,6,1,2,1,1,4,1,0
459,1,32,6,2,5,1,2,3,2,0
460,2,22,3,1,2,1,1,2,1,1
461,1,32,2,2,4,1,1,4,2,1
462,2,37,4,2,3,1,1,3,2,1
463,1,32,4,2,6,1,2,8,2,1
464,2,21,6,6,4,1,1,3,1,1
465,2,21,3,5,1,3,1,9,1,1
466,2,16,4,5,1,1,3,7,1,1
467,2,42,2,3,2,1,1,1,2,1
468,1,22,6,2,4,1,1,6,2,1
469,1,22,4,3,2,1,1,12,2,0
470,2,42,6,5,1,1,1,8,4,1
471,1,27,2,5,1,1,1,4,1,1
472,1,21,1,2,3,1,1,2,2,0
473,1,59,3,4,4,1,1,8,1,1
474,1,21,3,5,1,1,1,1,1,1
475,1,22,4,2,4,1,2,11,2,0
476,2,16,4,4,4,1,3,7,1,1
477,1,18,6,5,1,1,3,5,1,0
478,1,32,2,4,4,1,1,2,1,1
479,2,32,6,2,5,1,1,5,2,1
480,2,16,3,5,1,1,1,1,1,1
481,2,27,4,2,4,1,1,6,2,1
482,2,16,5,8,3,1,3,6,1,0
483,1,21,4,2,5,1,1,6,2,1
484,1,37,5,2,4,3,1,6,2,1
485,1,22,6,5,1,1,1,4,4,0
486,2,22,6,5,1,1,1,3,1,0
487,2,27,6,7,4,1,1,4,4,0
488,1,27,3,2,4,2,1,2,2,1
489,2,59,3,4,5,1,3,1,1,1
490,2,18,4,2,4,1,1,2,2,1
491,1,27,4,2,4,1,1,7,2,0
492,1,42,3,2,3,1,2,11,2,0
493,2,16,6,4,3,1,1,5,1,0
494,2,22,4,2,3,2,1,4,2,1
495,2,16,4,1,2,1,1,3,1,1
496,2,22,4,2,4,1,1,8,2,1
497,1,18,6,5,1,1,1,3,1,0
498,2,22,6,5,1,1,1,3,1,0
499,2,32,6,5,1,1,1,6,1,0
500,2,22,6,6,3,1,1,3,1,0
501,2,37,3,3,2,1,1,7,2,1
502,1,37,2,2,3,1,1,2,2,1
503,2,21,4,2,4,1,2,1,2,0
504,1,22,6,2,4,1,1,4,2,0
505,1,22,4,2,4,1,1,7,2,0
506,2,32,6,6,4,1,1,6,1,0
507,1,42,6,3,2,1,1,5,2,0
508,2,42,4,5,1,1,1,3,3,0
509,2,27,3,2,4,1,1,1,2,1
510,1,16,4,5,1,1,3,1,1,1
511,2,18,4,5,1,1,1,7,1,1
512,1,22,5,6,3,3,1,2,1,0
513,1,22,6,3,2,1,1,5,2,0
514,1,32,5,3,2,1,1,2,2,0
515,1,59,3,4,4,1,3,1,1,1
516,2,27,3,2,4,1,1,7,2,0
517,1,22,4,2,4,1,1,11,2,0
518,2,21,3,1,2,1,1,4,1,1
519,1,27,3,2,4,1,2,11,2,0
520,1,32,5,2,4,1,1,4,2,0
521,2,16,4,4,4,1,1,6,1,1
522,2,27,4,5,1,1,1,2,1,1
523,1,21,4,6,3,1,1,4,1,0
524,1,21,4,1,2,1,1,6,1,0
525,1,18,6,5,1,1,1,2,1,0
526,1,22,4,6,3,1,1,6,3,1
527,1,22,6,2,5,1,1,3,2,0
528,2,32,3,3,2,1,1,3,2,1
529,2,47,4,3,2,1,1,1,2,1
530,1,22,6,2,5,1,1,5,2,0
531,1,47,2,2,3,1,2,11,2,0
532,1,32,6,2,3,1,1,2,2,0
533,2,42,3,3,2,1,1,8,2,1
534,2,16,2,1,2,1,1,6,1,1
535,2,22,4,2,5,1,1,10,2,1
536,2,16,4,4,3,1,1,7,1,1
537,2,21,4,5,1,3,1,2,1,1
538,1,22,4,1,2,1,1,10,1,0
539,2,16,3,4,3,1,1,4,1,1
540,1,22,5,1,2,1,1,2,1,0
541,1,22,4,2,6,1,1,2,2,0
542,2,16,4,4,3,1,3,8,1,1
543,1,32,6,2,5,1,1,2,2,0
544,1,32,6,2,4,1,1,1,2,0
545,1,22,4,2,4,1,1,1,2,0
546,2,37,3,2,4,1,1,4,2,1
547,2,42,3,2,3,1,1,6,2,1
548,2,22,4,2,4,1,1,1,2,1
549,2,59,3,4,5,3,1,1,1,1
550,2,22,3,1,2,1,1,10,4,1
551,1,22,6,2,5,1,1,12,2,0
552,1,37,6,3,2,1,1,4,2,0
553,1,42,4,3,2,1,1,1,2,0
554,1,22,4,2,5,1,1,6,2,1
555,1,32,4,2,4,1,1,4,2,1
556,1,32,2,2,3,1,1,1,2,1
557,2,18,6,3,2,1,1,6,2,0
558,2,16,4,1,2,1,1,10,1,1
559,2,59,3,4,6,1,1,1,1,1
560,1,18,3,1,2,1,1,6,1,1
561,2,32,6,2,4,1,1,5,2,0
562,1,21,5,2,6,1,1,10,2,0
563,2,18,6,1,2,1,1,8,1,1
564,2,16,4,3,2,1,1,3,2,1
565,1,16,4,4,5,1,1,1,1,1
566,1,37,4,3,2,1,1,3,2,1
567,1,21,3,2,5,1,1,2,2,1
568,2,16,4,3,2,1,1,3,2,1
569,2,27,6,5,1,1,1,3,1,0
570,2,32,4,2,3,1,1,4,2,1
571,1,16,5,1,2,2,1,4,1,0
572,1,27,5,2,6,1,1,4,2,0
573,2,27,4,2,3,2,1,2,2,1
574,1,32,3,5,1,1,1,4,4,1
575,1,18,4,2,3,1,1,1,2,1
576,2,22,4,5,1,1,1,10,1,1
577,2,18,4,2,3,1,1,1,2,1
578,1,27,6,2,5,1,1,10,2,0
579,1,32,6,2,4,1,2,2,2,0
580,1,37,6,3,2,1,1,5,2,0
581,2,21,6,2,4,1,1,5,2,0
582,1,27,3,2,6,1,1,7,2,0
583,1,37,4,2,3,1,1,1,2,0
584,1,16,4,4,4,1,3,1,1,1
585,1,32,2,2,4,1,2,11,2,0
586,2,37,6,2,5,1,1,3,2,0
587,1,21,4,2,3,1,1,2,2,1
588,2,22,6,2,5,1,1,2,2,0
589,2,37,5,3,2,1,1,2,2,1
590,2,42,4,5,1,1,1,3,4,1
591,1,27,6,2,4,1,1,6,2,0
592,1,32,3,2,5,1,2,12,2,0
593,1,32,6,6,3,3,1,2,4,0
594,2,21,6,2,3,1,1,1,2,1
595,2,18,2,4,4,1,1,1,1,1
596,2,32,3,2,4,1,1,4,2,1
597,1,32,6,2,5,1,1,1,2,0
598,2,18,5,3,2,1,1,1,2,0
599,2,59,4,4,6,1,3,9,1,1
600,2,18,4,1,2,2,1,1,1,1
601,2,22,4,2,5,1,1,10,2,1
602,1,22,4,2,5,1,1,4,2,0
603,1,16,3,4,3,1,1,8,1,1
604,1,16,4,4,4,1,1,1,1,1
605,1,37,3,3,2,1,1,4,2,1
606,1,32,2,2,4,1,1,4,2,1
607,2,59,4,4,3,1,3,1,1,1
608,2,27,6,5,1,1,1,3,1,0
609,2,21,6,1,2,1,1,6,1,0
610,2,32,4,2,3,1,1,4,2,1
611,1,22,3,2,3,1,1,4,2,1
612,1,27,3,2,4,3,1,2,2,1
613,2,27,6,2,4,1,1,5,2,0
614,1,32,6,2,4,1,1,3,2,0
615,1,18,4,3,2,1,1,1,2,1
616,2,32,2,2,4,1,1,2,2,1
617,2,32,4,8,2,3,1,3,1,1
618,1,21,6,5,1,1,1,1,1,0
619,1,22,4,2,4,1,1,9,2,0
620,1,21,6,1,2,1,1,2,1,0
621,2,21,4,6,3,1,1,6,1,1
622,1,22,3,2,4,1,1,12,2,0
623,2,27,3,2,4,1,1,4,2,0
624,2,27,6,2,5,1,1,8,2,1
625,2,21,4,6,3,1,1,3,1,0
626,1,59,3,4,4,1,1,1,1,1
627,1,16,4,4,3,1,1,2,1,0
628,2,21,4,2,3,1,1,10,2,1
629,2,22,6,3,2,1,1,5,2,0
