,Sex,Single,Unemployed,Age,Credit,LoanDuration,PurposeOfLoan,InstallmentRate,Housing,Label
49,2.0,0,0,28,2073,12,3,4,1.0,1
50,1.0,1,0,29,2333,24,4,4,1.0,1
51,1.0,1,0,30,5965,27,10,1,1.0,1
52,1.0,1,0,25,1262,12,3,3,1.0,1
53,1.0,1,0,31,3378,18,10,2,1.0,1
54,1.0,1,0,57,2225,36,6,4,3.0,0
55,1.0,1,0,26,783,6,6,1,1.0,1
56,1.0,1,1,52,6468,12,3,2,1.0,0
57,2.0,0,0,31,9566,36,3,2,1.0,1
58,2.0,0,0,23,1961,18,6,3,1.0,1
59,2.0,0,0,23,6229,36,4,4,2.0,0
60,1.0,0,0,27,1391,9,1,2,1.0,1
61,1.0,1,0,50,1537,15,3,4,1.0,1
62,1.0,1,0,61,1953,36,1,4,3.0,0
63,1.0,1,0,25,14421,48,1,2,1.0,0
64,2.0,0,0,26,3181,24,3,4,1.0,1
65,1.0,1,0,48,5190,27,8,4,1.0,1
66,2.0,0,0,29,2171,12,3,2,1.0,1
67,1.0,0,0,22,1007,12,6,4,1.0,1
68,1.0,1,0,37,1819,36,2,4,3.0,0
69,2.0,0,0,25,2394,36,3,4,1.0,1
70,2.0,0,0,30,8133,36,10,1,1.0,1
71,1.0,1,0,46,730,7,3,4,2.0,1
72,1.0,1,0,51,1164,8,7,3,3.0,1
73,2.0,0,0,41,5954,42,1,2,1.0,1
74,1.0,1,0,40,1977,36,2,4,1.0,0
75,1.0,1,0,66,1526,12,10,4,3.0,1
76,1.0,1,0,34,3965,42,3,4,1.0,0
77,1.0,1,0,51,4771,11,3,2,1.0,1
78,1.0,1,0,39,9436,54,10,2,1.0,1
79,1.0,0,0,22,3832,30,4,2,1.0,1
80,2.0,0,0,44,5943,24,3,1,1.0,0
81,1.0,1,0,47,1213,15,3,4,1.0,1
82,2.0,0,0,24,1568,18,1,3,2.0,1
83,2.0,0,0,58,1755,24,7,4,1.0,1
84,1.0,1,0,52,2315,10,3,3,1.0,1
85,2.0,0,0,29,1412,12,1,4,1.0,1
86,2.0,0,0,27,1295,18,4,4,1.0,1
87,1.0,1,0,47,12612,36,2,1,3.0,0
88,1.0,1,0,30,2249,18,6,4,1.0,1
89,1.0,1,0,28,1108,12,8,4,1.0,0
90,1.0,1,0,56,618,12,3,4,1.0,1
91,1.0,1,0,54,1409,12,10,4,1.0,1
92,2.0,0,0,33,797,12,3,4,1.0,0
93,1.0,1,0,20,3617,24,4,4,2.0,1
94,1.0,1,0,54,1318,12,6,4,1.0,1
95,1.0,1,0,58,15945,54,1,3,2.0,0
96,2.0,0,0,61,2012,12,2,4,1.0,1
97,1.0,1,0,34,2622,18,1,4,1.0,1
98,1.0,1,0,36,2337,36,3,4,1.0,1
99,1.0,1,0,36,7057,20,10,3,2.0,1
100,1.0,0,0,41,1469,24,6,4,2.0,1
101,1.0,1,0,24,2323,36,3,4,2.0,1
102,2.0,0,0,24,932,6,3,3,1.0,1
103,1.0,1,0,35,1919,9,4,4,2.0,1
104,1.0,0,0,26,2445,12,10,2,2.0,1
105,1.0,1,0,39,11938,24,7,2,1.0,0
106,1.0,1,0,39,6458,18,6,2,1.0,0
107,1.0,1,0,32,6078,12,6,2,1.0,1
108,2.0,0,0,30,7721,24,4,1,1.0,1
109,1.0,0,0,35,1410,14,1,1,1.0,1
110,1.0,0,0,31,1449,6,1,1,1.0,1
111,2.0,0,0,23,392,15,2,4,2.0,1
112,1.0,1,0,28,6260,18,6,3,2.0,1
113,2.0,0,0,25,7855,36,6,4,1.0,0
114,1.0,0,0,35,1680,12,3,3,1.0,1
115,1.0,1,0,47,3578,48,3,4,1.0,1
116,2.0,0,0,30,7174,42,3,4,1.0,0
117,2.0,0,0,27,2132,10,4,2,2.0,1
118,2.0,0,0,23,4281,33,4,1,1.0,0
119,1.0,0,0,36,2366,12,6,3,1.0,1
120,2.0,0,0,25,1835,21,3,3,1.0,0
121,2.0,0,0,41,3868,24,10,4,2.0,1
122,1.0,1,0,24,1768,12,4,3,2.0,1
123,1.0,1,0,63,781,10,6,4,3.0,1
124,2.0,0,0,27,1924,18,4,4,2.0,0
125,1.0,1,0,30,2121,12,6,4,1.0,1
126,1.0,0,0,40,701,12,3,4,1.0,1
127,1.0,1,0,30,639,12,8,4,1.0,0
128,1.0,1,1,34,1860,12,10,4,1.0,1
129,2.0,0,0,29,3499,12,6,3,1.0,0
130,2.0,0,0,24,8487,48,6,1,1.0,1
131,1.0,1,0,29,6887,36,2,4,1.0,0
132,1.0,1,0,27,2708,15,4,2,1.0,1
133,1.0,1,0,47,1984,18,4,4,3.0,1
134,2.0,0,0,21,10144,60,3,2,1.0,1
135,2.0,0,0,38,1240,12,3,4,1.0,1
136,1.0,1,0,27,8613,27,10,2,1.0,1
137,1.0,1,0,66,766,12,3,4,1.0,0
138,1.0,1,0,35,2728,15,3,4,1.0,1
139,2.0,0,0,44,1881,12,3,2,2.0,1
140,1.0,0,0,27,709,6,6,2,1.0,1
141,2.0,0,0,30,4795,36,3,4,1.0,1
142,1.0,1,0,27,3416,27,3,3,1.0,1
143,1.0,1,0,22,2462,18,4,2,1.0,0
144,2.0,0,0,23,2288,21,4,4,1.0,1
145,1.0,1,0,30,3566,48,1,4,1.0,1
146,2.0,0,0,39,860,6,6,1,1.0,1
147,2.0,0,0,51,682,12,6,4,1.0,1
148,1.0,1,0,28,5371,36,4,3,1.0,1
149,1.0,1,0,46,1582,18,3,4,1.0,1
150,1.0,1,0,42,1346,6,3,2,3.0,1
151,1.0,1,0,38,1924,10,3,1,1.0,1
152,1.0,1,0,24,5848,36,3,4,1.0,1
153,2.0,0,0,29,7758,24,10,2,2.0,1
154,1.0,1,0,36,6967,24,1,4,2.0,1
155,2.0,0,0,20,1282,12,4,2,2.0,0
156,1.0,1,0,48,1288,9,8,3,1.0,1
157,1.0,0,0,45,339,12,9,4,1.0,1
158,1.0,1,0,38,3512,24,6,2,1.0,1
159,1.0,1,0,34,1898,6,3,1,1.0,1
160,1.0,1,0,36,2872,24,3,3,1.0,1
161,2.0,0,0,30,1055,18,6,4,1.0,1
162,1.0,1,0,36,1262,15,5,4,1.0,1
163,1.0,1,1,70,7308,10,6,2,3.0,1
164,1.0,1,0,36,909,36,6,4,1.0,1
165,1.0,1,0,32,2978,6,4,1,1.0,1
166,2.0,0,1,33,1131,18,4,4,1.0,0
167,2.0,0,0,20,1577,11,4,4,1.0,1
168,2.0,0,0,25,3972,24,4,2,2.0,1
169,1.0,0,0,31,1935,24,1,4,1.0,0
170,1.0,1,0,33,950,15,6,4,2.0,0
171,2.0,0,0,26,763,12,4,4,1.0,1
172,2.0,0,1,34,2064,24,4,3,1.0,0
173,1.0,1,0,33,1414,8,3,4,1.0,1
174,1.0,1,0,26,3414,21,2,2,1.0,0
175,2.0,0,1,53,7485,30,10,4,1.0,0
176,1.0,0,0,42,2577,12,4,2,1.0,1
177,1.0,1,0,52,338,6,3,4,1.0,1
178,1.0,1,0,31,1963,12,3,4,2.0,1
179,1.0,1,0,65,571,21,6,4,1.0,1
180,1.0,0,0,28,9572,36,1,1,1.0,0
181,1.0,0,0,30,4455,36,1,2,1.0,0
182,1.0,1,0,40,1647,21,6,4,1.0,0
183,1.0,1,0,50,3777,24,4,4,1.0,1
184,1.0,1,0,36,884,18,6,4,1.0,0
185,1.0,1,0,31,1360,15,3,4,1.0,1
186,2.0,0,0,74,5129,9,10,2,3.0,0
187,1.0,1,1,68,1175,16,6,2,3.0,1
188,1.0,0,0,20,674,12,3,4,1.0,0
189,2.0,0,0,33,3244,18,4,1,1.0,1
190,1.0,1,0,54,4591,24,1,2,1.0,0
191,1.0,1,0,34,3844,48,1,4,3.0,0
192,1.0,1,0,36,3915,27,1,4,1.0,0
193,1.0,0,0,29,2108,6,3,2,2.0,1
194,1.0,1,0,21,3031,45,3,4,2.0,0
195,2.0,0,0,34,1501,9,2,2,1.0,0
196,2.0,0,0,28,1382,6,3,1,1.0,1
197,2.0,0,0,27,951,12,4,4,2.0,0
198,1.0,1,0,36,2760,24,10,4,3.0,1
199,1.0,0,0,40,4297,18,4,4,1.0,0
200,1.0,1,0,52,936,9,2,4,1.0,1
201,1.0,0,0,27,1168,12,6,4,1.0,1
202,1.0,1,0,26,5117,27,1,3,1.0,1
203,1.0,0,0,21,902,12,9,4,2.0,0
204,1.0,1,0,38,1495,12,6,4,1.0,1
205,1.0,1,0,38,10623,30,10,3,3.0,1
206,1.0,1,0,43,1935,12,4,4,1.0,1
207,1.0,1,0,26,1424,12,5,4,1.0,1
208,1.0,0,0,21,6568,24,1,2,1.0,1
209,1.0,1,0,55,1413,12,10,3,1.0,1
210,1.0,1,0,33,3074,9,3,1,1.0,1
211,2.0,0,0,45,3835,36,3,2,1.0,1
212,1.0,1,1,50,5293,27,1,2,1.0,0
213,1.0,1,0,66,1908,30,1,4,1.0,0
214,1.0,1,0,51,3342,36,3,4,1.0,1
215,2.0,0,0,39,932,6,9,1,1.0,1
216,1.0,1,0,31,3104,18,1,3,1.0,1
217,1.0,1,0,23,3913,36,3,2,1.0,1
218,1.0,0,0,24,3021,24,4,2,2.0,1
219,2.0,0,0,64,1364,10,6,2,1.0,1
220,1.0,0,0,26,625,12,3,4,1.0,1
221,2.0,0,0,23,1200,12,2,4,2.0,1
222,1.0,1,0,30,707,12,3,4,1.0,1
223,1.0,1,0,32,2978,24,1,4,1.0,1
224,1.0,1,0,30,4657,15,10,3,1.0,1
225,1.0,1,0,27,2613,36,8,4,1.0,1
226,1.0,1,0,27,10961,48,3,1,1.0,0
227,1.0,1,0,53,7865,12,4,4,3.0,0
228,1.0,1,0,22,1478,9,3,4,1.0,0
229,1.0,1,0,22,3149,24,4,4,3.0,1
230,1.0,1,0,26,4210,36,3,4,1.0,0
231,1.0,1,0,51,2507,9,6,2,3.0,1
232,1.0,1,0,35,2141,12,3,3,1.0,1
233,1.0,0,0,25,866,18,3,4,1.0,1
234,1.0,1,0,42,1544,4,3,2,1.0,1
235,1.0,1,1,30,1823,24,3,4,1.0,0
236,1.0,1,1,23,14555,6,6,1,1.0,0
237,1.0,0,0,61,2767,21,1,4,2.0,0
238,2.0,0,0,35,1291,12,3,4,1.0,1
239,1.0,1,0,39,2522,30,3,1,1.0,1
240,2.0,0,0,29,915,24,6,4,1.0,0
241,1.0,1,0,51,1595,6,3,3,1.0,1
242,1.0,1,0,24,4605,48,10,3,3.0,0
243,2.0,0,0,27,1185,12,1,3,1.0,1
244,2.0,0,0,35,3447,12,9,4,1.0,1
245,1.0,1,0,25,1258,24,1,4,1.0,1
246,1.0,1,0,52,717,12,3,4,1.0,1
247,1.0,1,0,35,1204,6,6,4,2.0,1
248,1.0,1,0,26,1925,24,4,2,1.0,1
249,2.0,0,1,22,433,18,3,3,2.0,0
250,2.0,0,0,39,666,6,6,3,1.0,1
251,2.0,0,0,46,2251,12,4,1,1.0,1
252,2.0,0,0,24,2150,30,6,4,1.0,0
253,1.0,1,0,35,4151,24,4,2,1.0,1
254,1.0,1,0,24,2030,9,4,2,1.0,1
255,1.0,1,0,27,7418,60,3,1,1.0,1
256,1.0,1,0,35,2684,24,3,4,1.0,1
257,1.0,0,0,29,2149,12,3,4,3.0,0
258,2.0,0,0,23,3812,15,10,1,1.0,1
259,2.0,0,1,57,1154,11,3,4,1.0,1
260,1.0,1,0,27,1657,12,4,2,1.0,1
261,2.0,0,0,55,1603,24,3,4,1.0,1
262,1.0,1,0,36,5302,18,6,2,3.0,1
263,2.0,0,0,57,2748,12,2,2,3.0,1
264,1.0,1,0,32,1231,10,6,3,1.0,1
265,1.0,1,0,37,802,15,3,4,1.0,0
266,1.0,1,0,36,6304,36,1,4,1.0,1
267,2.0,0,0,38,1533,24,3,4,1.0,1
268,1.0,0,0,45,8978,14,6,1,1.0,0
269,1.0,1,0,25,999,24,3,4,1.0,1
270,1.0,1,0,32,2662,18,6,4,1.0,1
271,2.0,0,0,37,1402,12,4,3,2.0,1
272,1.0,1,1,36,12169,48,6,4,3.0,1
273,1.0,1,0,28,3060,48,3,4,1.0,0
274,1.0,0,0,34,11998,30,8,1,1.0,0
275,1.0,1,0,32,2697,9,3,1,1.0,1
276,2.0,0,0,26,2404,18,3,2,1.0,1
277,1.0,0,0,49,1262,12,4,2,1.0,1
278,2.0,0,0,32,4611,6,4,1,1.0,0
279,1.0,1,0,29,1901,24,3,4,2.0,1
280,1.0,1,0,23,3368,15,10,3,2.0,1
281,1.0,1,0,50,1574,12,4,4,1.0,1
282,1.0,1,0,49,1445,18,3,4,1.0,1
283,1.0,1,0,63,1520,15,4,4,1.0,1
284,1.0,0,0,37,3878,24,6,4,1.0,1
285,2.0,0,0,35,10722,47,6,1,1.0,1
286,1.0,1,0,26,4788,48,10,4,1.0,1
287,1.0,1,1,31,7582,48,7,2,3.0,1
288,2.0,0,0,49,1092,12,3,4,1.0,1
289,1.0,0,0,48,1024,24,3,4,1.0,0
290,1.0,0,0,26,1076,12,1,2,1.0,1
291,1.0,0,0,28,9398,36,10,1,2.0,0
292,2.0,0,0,44,6419,24,10,2,3.0,1
293,1.0,1,0,56,4796,42,10,4,3.0,1
294,1.0,0,0,46,7629,48,1,4,1.0,1
295,2.0,0,0,26,9960,48,4,1,1.0,0
296,2.0,0,0,20,4675,12,10,1,2.0,1
297,1.0,1,0,45,1287,10,6,4,1.0,1
298,1.0,1,0,43,2515,18,4,3,1.0,1
299,1.0,1,0,32,2745,21,4,3,1.0,1
300,2.0,0,1,54,672,6,6,1,1.0,1
301,2.0,0,0,42,3804,36,3,4,1.0,0
302,1.0,1,0,37,1344,24,6,4,1.0,0
303,1.0,1,0,49,1038,10,6,4,1.0,1
304,1.0,1,0,44,10127,48,6,2,3.0,0
305,1.0,0,0,33,1543,6,4,4,1.0,1
306,2.0,0,0,24,4811,30,10,2,2.0,1
307,1.0,0,0,33,727,12,3,4,1.0,0
308,2.0,0,0,24,1237,8,4,3,1.0,0
309,1.0,0,0,22,276,9,6,4,2.0,1
310,1.0,1,1,40,5381,48,7,3,3.0,1
311,1.0,1,0,25,5511,24,4,4,1.0,1
312,2.0,0,0,26,3749,24,4,2,1.0,1
313,1.0,0,0,25,685,12,6,2,1.0,0
314,1.0,1,0,29,1494,4,6,1,1.0,1
315,1.0,1,0,31,2746,36,4,4,1.0,0
316,1.0,1,0,38,708,12,4,2,1.0,1
317,2.0,0,0,48,4351,24,4,1,1.0,1
318,1.0,1,0,32,701,12,2,4,1.0,1
319,2.0,0,0,27,3643,15,4,1,1.0,1
320,1.0,0,1,28,4249,30,6,4,1.0,0
321,1.0,0,0,32,1938,24,3,4,1.0,0
322,1.0,1,0,34,2910,24,10,2,3.0,1
323,1.0,1,0,28,2659,18,4,4,1.0,1
324,2.0,0,0,36,1028,18,6,4,1.0,1
325,1.0,1,0,39,3398,8,6,1,1.0,1
326,1.0,1,0,49,5801,12,4,2,2.0,1
327,2.0,0,0,34,1525,24,6,4,1.0,1
328,1.0,1,0,31,4473,36,3,4,1.0,1
329,1.0,1,0,28,1068,6,3,4,1.0,1
330,1.0,1,1,75,6615,24,10,2,3.0,1
331,2.0,0,0,30,1864,18,2,4,1.0,0
332,2.0,0,0,24,7408,60,6,4,1.0,0
333,2.0,0,0,24,11590,48,10,2,2.0,0
334,1.0,1,0,23,4110,24,4,3,2.0,0
335,1.0,0,0,44,3384,6,4,1,2.0,0
336,2.0,0,0,23,2101,13,3,2,1.0,1
337,2.0,0,0,24,1275,15,5,4,2.0,0
338,1.0,1,0,28,4169,24,4,4,1.0,1
339,1.0,0,0,31,1521,10,4,4,1.0,1
340,2.0,0,0,24,5743,24,2,2,3.0,1
341,2.0,0,0,26,3599,21,4,1,2.0,1
342,1.0,0,0,25,3213,18,3,1,2.0,1
343,1.0,1,0,33,4439,18,1,1,1.0,1
344,1.0,1,0,37,3949,10,6,1,1.0,1
345,2.0,0,0,43,1459,15,3,4,1.0,1
346,1.0,1,0,23,882,13,3,4,1.0,1
347,2.0,0,1,23,3758,24,3,1,2.0,1
348,1.0,1,0,34,1743,6,1,1,1.0,1
349,1.0,1,0,32,1136,9,2,4,3.0,0
350,2.0,0,0,23,1236,9,5,1,2.0,1
351,2.0,0,0,29,959,9,4,1,1.0,0
352,1.0,1,1,38,3229,18,10,2,1.0,1
353,1.0,1,0,28,6199,12,3,4,2.0,0
354,1.0,1,0,46,727,10,2,4,3.0,1
355,1.0,1,0,23,1246,24,6,4,1.0,0
356,1.0,1,0,49,2331,12,3,1,1.0,1
357,1.0,1,0,26,4463,36,3,4,1.0,0
358,1.0,0,0,28,776,12,3,4,1.0,1
359,2.0,0,0,23,2406,30,4,4,2.0,0
360,1.0,1,0,61,1239,18,2,4,3.0,1
361,1.0,1,0,37,3399,12,3,2,1.0,1
362,2.0,0,0,36,2247,12,6,2,1.0,1
363,1.0,0,0,21,1766,6,4,1,2.0,1
364,1.0,1,1,25,2473,18,4,4,1.0,0
365,1.0,1,0,36,1542,12,1,2,1.0,1
366,1.0,1,0,27,3850,18,10,3,1.0,1
367,2.0,0,0,22,3650,18,4,1,2.0,1
368,1.0,1,0,42,3446,36,4,4,1.0,0
369,2.0,0,0,40,3001,18,4,2,2.0,1
370,1.0,1,0,36,3079,36,6,4,1.0,1
371,1.0,1,0,33,6070,18,3,3,1.0,1
372,2.0,0,0,23,2146,10,4,1,2.0,1
373,1.0,1,0,63,13756,60,6,2,3.0,1
374,2.0,0,0,60,14782,60,7,3,3.0,0
375,2.0,0,0,37,7685,48,1,2,2.0,0
376,1.0,0,1,34,2320,18,3,2,1.0,1
377,1.0,1,0,36,846,7,3,3,3.0,1
378,1.0,1,0,57,14318,36,6,4,3.0,0
379,2.0,0,0,52,362,6,6,4,1.0,1
380,1.0,1,0,39,2212,20,4,4,1.0,1
381,2.0,0,1,38,12976,18,10,3,3.0,0
382,2.0,0,0,25,1283,22,6,4,2.0,1
383,1.0,1,0,26,1330,12,6,4,1.0,1
384,1.0,1,0,26,4272,30,1,2,1.0,1
385,2.0,0,0,25,2238,18,3,2,1.0,1
386,2.0,0,0,21,1126,18,3,4,2.0,1
387,1.0,1,1,40,7374,18,4,4,1.0,1
388,1.0,1,0,27,2326,15,1,2,1.0,1
389,2.0,0,0,27,1449,9,1,3,1.0,1
390,1.0,0,0,30,1820,18,6,2,1.0,1
391,2.0,0,0,19,983,12,4,1,2.0,1
392,1.0,1,0,39,3249,36,6,2,3.0,1
393,2.0,0,0,31,1957,6,3,1,1.0,1
394,1.0,1,1,31,2406,9,4,2,1.0,1
395,1.0,1,0,32,11760,39,2,2,2.0,1
396,2.0,0,1,55,2578,12,4,3,3.0,1
397,1.0,0,0,46,2348,36,4,3,1.0,1
398,1.0,0,0,46,1223,12,6,1,2.0,0
399,2.0,0,0,43,1516,24,3,4,1.0,1
400,1.0,0,0,39,1473,18,3,3,1.0,1
401,1.0,0,0,28,1887,18,1,4,1.0,1
402,1.0,1,0,27,8648,24,1,2,1.0,0
403,1.0,1,0,27,802,14,6,4,1.0,1
404,1.0,1,0,43,2899,18,6,4,1.0,1
405,1.0,0,0,22,2039,24,3,1,1.0,0
406,1.0,1,0,43,2197,24,10,4,1.0,1
407,1.0,0,0,27,1053,15,3,4,1.0,1
408,1.0,0,0,26,3235,24,3,3,1.0,1
409,1.0,0,0,28,939,12,6,4,1.0,0
410,2.0,0,0,20,1967,24,3,4,1.0,1
411,1.0,1,0,35,7253,33,10,3,1.0,1
412,1.0,1,1,42,2292,12,1,4,1.0,0
413,1.0,1,0,40,1597,10,6,3,2.0,1
414,2.0,0,0,35,1381,24,6,4,1.0,0
415,1.0,1,0,35,5842,36,10,2,1.0,1
416,1.0,1,0,33,2579,12,6,4,1.0,0
417,2.0,0,0,23,8471,18,2,1,2.0,1
418,2.0,0,0,31,2782,21,6,1,1.0,1
419,2.0,0,0,33,1042,18,6,4,1.0,0
420,2.0,0,0,20,3186,15,6,2,2.0,1
421,1.0,1,0,30,2028,12,10,4,1.0,1
422,1.0,1,0,47,958,12,6,2,1.0,1
423,1.0,1,0,34,1591,21,4,4,1.0,1
424,2.0,0,0,25,2762,12,4,1,1.0,0
425,1.0,0,0,21,2779,18,10,1,2.0,1
426,1.0,1,0,29,2743,28,3,4,1.0,1
427,1.0,1,0,46,1149,18,3,4,1.0,1
428,1.0,1,0,20,1313,9,4,1,1.0,1
429,2.0,0,1,55,1190,18,8,2,3.0,0
430,1.0,1,0,74,3448,5,1,1,1.0,1
431,1.0,1,0,29,11328,24,7,2,1.0,0
432,1.0,1,1,36,1872,6,4,4,3.0,1
433,1.0,0,0,33,2058,24,8,4,1.0,1
434,1.0,1,0,25,2136,9,4,3,1.0,1
435,1.0,0,0,25,1484,12,3,2,1.0,0
436,1.0,0,0,23,660,6,8,2,2.0,1
437,2.0,0,0,37,1287,24,6,4,1.0,1
438,1.0,1,1,65,3394,42,8,4,1.0,1
439,2.0,0,0,26,609,12,1,4,1.0,0
440,1.0,1,0,39,1884,12,6,4,1.0,1
441,2.0,0,0,30,1620,12,4,2,1.0,1
442,1.0,1,0,29,2629,20,7,2,1.0,1
443,1.0,1,0,41,719,12,2,4,1.0,0
444,2.0,0,0,30,5096,48,4,2,1.0,0
445,2.0,0,0,41,1244,9,2,4,2.0,1
446,2.0,0,0,34,1842,36,6,4,1.0,0
447,1.0,1,0,35,2576,7,3,2,1.0,1
448,2.0,0,0,55,1424,12,4,3,1.0,1
449,1.0,0,0,61,1512,15,8,3,1.0,0
450,1.0,1,0,30,11054,36,10,4,1.0,1
451,2.0,0,0,29,518,6,3,3,1.0,1
452,1.0,1,0,34,2759,12,4,2,1.0,1
453,1.0,1,0,35,2670,24,10,4,1.0,1
454,1.0,1,0,31,4817,24,6,2,1.0,0
455,2.0,0,0,29,2679,24,10,4,1.0,1
456,1.0,1,0,36,3905,11,6,2,2.0,1
457,1.0,1,0,35,3386,12,10,3,3.0,0
458,2.0,0,0,27,343,6,5,4,1.0,1
459,1.0,1,0,32,4594,18,3,3,1.0,1
460,1.0,1,0,37,3620,36,4,1,1.0,1
461,1.0,1,0,36,1721,15,6,2,1.0,1
462,2.0,0,0,34,3017,12,4,3,2.0,1
463,1.0,1,0,38,754,12,9,4,1.0,1
464,1.0,1,0,34,1950,18,1,4,1.0,1
465,1.0,1,0,63,2924,24,10,3,1.0,1
466,2.0,0,0,29,1659,24,3,4,2.0,0
467,1.0,1,0,32,7238,48,3,3,1.0,1
468,2.0,0,0,26,2764,33,1,2,1.0,1
469,1.0,1,0,35,4679,24,10,3,1.0,1
470,1.0,0,0,22,3092,24,3,3,2.0,0
471,2.0,0,0,23,448,6,2,4,1.0,0
472,1.0,1,0,28,654,9,6,4,1.0,0
473,1.0,1,1,36,1238,6,9,4,1.0,1
474,1.0,0,0,33,1245,18,3,4,1.0,0
475,2.0,0,0,26,3114,18,4,1,2.0,0
476,1.0,1,0,24,2569,39,10,4,1.0,1
477,1.0,1,0,25,5152,24,3,4,1.0,1
478,1.0,1,0,39,1037,12,1,3,1.0,1
479,1.0,1,0,44,1478,15,4,4,1.0,1
480,2.0,0,0,23,3573,12,3,1,1.0,1
481,1.0,1,0,26,1201,24,6,4,1.0,1
482,2.0,0,0,57,3622,30,4,4,2.0,1
483,2.0,0,0,30,960,15,4,3,1.0,1
484,1.0,1,0,44,1163,12,6,4,1.0,1
485,1.0,1,1,47,1209,6,6,4,1.0,0
486,1.0,1,0,52,3077,12,3,2,1.0,1
487,2.0,0,0,62,3757,24,6,4,3.0,1
488,1.0,1,0,35,1418,10,6,3,2.0,1
489,1.0,1,0,26,3518,6,6,2,2.0,1
490,1.0,1,0,26,1934,12,3,2,1.0,1
491,2.0,0,0,42,8318,27,1,2,3.0,0
492,2.0,0,0,27,1237,6,3,1,1.0,1
493,1.0,1,0,38,368,6,3,4,1.0,1
494,1.0,1,0,39,2122,12,6,3,2.0,1
495,1.0,0,0,20,2996,24,4,2,1.0,0
496,1.0,1,0,29,9034,36,4,4,2.0,0
497,1.0,1,0,40,1585,24,4,4,1.0,1
498,1.0,0,0,32,1301,18,3,4,1.0,1
499,1.0,0,0,28,1323,6,6,2,1.0,1
500,2.0,0,0,27,3123,24,6,4,1.0,0
501,1.0,1,0,42,5493,36,10,2,3.0,1
502,1.0,0,0,49,1126,9,3,2,1.0,1
503,1.0,1,0,38,1216,24,3,4,1.0,0
504,2.0,0,0,24,1207,24,6,4,2.0,0
505,1.0,1,0,27,1309,10,6,4,1.0,0
506,1.0,1,0,36,2360,15,10,2,1.0,1
507,1.0,1,1,34,6850,15,6,1,1.0,0
508,1.0,0,0,28,1413,24,3,4,1.0,1
509,1.0,1,0,45,8588,39,10,4,1.0,1
510,1.0,1,0,26,759,12,6,4,1.0,0
511,1.0,1,0,32,4686,36,10,2,3.0,1
512,1.0,1,0,26,2687,15,1,2,2.0,1
513,1.0,0,0,20,585,12,3,4,2.0,1
514,1.0,1,0,54,2255,24,6,4,1.0,1
515,2.0,0,0,37,609,6,6,4,1.0,1
516,1.0,1,0,40,1361,6,6,2,1.0,1
